Fine name,pdfsize,metadata size,pages,xref Length,title characters,isEncrypted,embedded files,images,text,header,obj,endobj,stream,endstream,xref,trailer,startxref,pageno,encrypt,ObjStm,JS,Javascript,AA,OpenAction,Acroform,JBIG2Decode,RichMedia,launch,EmbeddedFile,XFA,Colors,Class
e3f3da2bcefd8c60030b971dc28210440b4a2ac9c962715dfa741b347e4dd132,33.0,408.0,3.0,71.0,51.0,0.0,0.0,0,Yes,	%PDF-1.7,73,73,5.0,5,1,1.0,1,4,0.0,0.0,0,0,0,1,0,0,0,0,0,0,114.0,Malicious
923836d381e3bc17725e1b408c5e033e691018959e68730975e401bab0c90706,57.0,335.0,4.0,39.0,8.0,0.0,0.0,0,Yes,	%PDF-1.3,38,38,11.0,11,1,1.0,1,4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,Benign
c6cc7558bfa0da1bfd6306940592162798989279ac235ea150193e1a79d083b0,5.0,201.0,1.0,79.0,0.0,0.0,0.0,0,No,	%PDF-1.6,19,19,9.0,9,1,1.0,1,1,0.0,0.0,0,0,0,0,1,0,0,0,8,1,0.0,Malicious
bed7a57b2696f4482c6ed81cc6694ee885373b75d462fb33900d3bb659973126,49.0,491.0,5.0,245.0,66.0,0.0,0.0,0,Yes,	%PDF-1.4,54,54,21.0,21,6,6.0,4,4,0.0,3.0,0,0,0,2,0,0,0,0,0,0,4.0,Benign
53ebbf7d499b3b83d3db77d41f1f64e085f69f5bd0efe798f357df73c9f8deff,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,	%PDF-1.6,35,34,27.0,27,0,0.0,5,2,0.0,9.0,2,1,0,0,0,0,0,0,0,0,0.0,Malicious
f59bf2368d2e97cede86300a8bf3b99c98096d1beb8895a3b6a6b8d6f7ca686e,85.0,283.0,1.0,28.0,0.0,0.0,0.0,10,No,	%PDF-1.7,25,25,13.0,13,2,2.0,2,1,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0.0,Benign
2044bc81f90d9cd28505d7e2928d37f9ad1b448f338a0d2f18d669c51f3067bd,4.0,180.0,1.0,14.0,0.0,0.0,0.0,0,No,	%PDF-1.3,13,13,2.0,2,1,1.0,1,1,0.0,0.0,2,3,0,1,1,0,0,0,0,0,0.0,Malicious
7eb5c282af98b078a77d74933651dbaf4f472306fec1b65593eae954757a9c20,4.0,180.0,1.0,8.0,0.0,0.0,0.0,0,No,	%PDF-1.,14,15,1.0,1,1,1.0,0,1(1),0.0,0.0,2,3,0,0,1,0,0,0,0,0,0.0,Malicious
b4b62f729a1bbc7b7747ca820ab85d0cd5d05576b70a0f3a79159d9502342395,42.0,376.0,1.0,13.0,13.0,0.0,0.0,0,Yes,	%PDF-1.4,12,12,3.0,3,1,1.0,1,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,Benign
429694f0a65cdf165cbaeaa3919bc241bf9b6f7c523c949b7aa5e7e339ee0066,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,	%PDF-1.5,39,39,24.0,24,0,0.0,1,0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0.0,Malicious
b3dfc3ced49f1f0610c1f6333af6b2b5a289bd6c4fede9251080e52751dd943a,16.0,180.0,1.0,10.0,0.0,0.0,0.0,0,No,	%PDF-1.7,27,27,9.0,9,1,1.0,1,6,0.0,0.0,2,3,0,1,0,0,0,0,0,0,0.0,Malicious
47e6392cadccebcf0fa93e27337a1f06cc79d854ac0d530026ae8d4a500dcc72,78.0,335.0,1.0,16.0,16.0,0.0,0.0,-1,unclear,	%PDF-1.6,19,19,9.0,9,1,1.0,1,1,0.0,0.0,0,0,0,0,1,0,0,0,8,1,0.0,Malicious
14d9966fd211322ba2cea815c0100e7b13390e7fb5f9f348fba60fbe46431da9,53.0,299.0,12.0,239.0,11.0,0.0,0.0,0,Yes,	%PDF-1.2,264,264,78.0,78,1,1.0,1,78,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,Benign
50aaa83450cffc20f5bf956d09a0c3f0c18c47e1fb6362edc71ae137c2dcda24,4.0,201.0,1.0,52.0,0.0,0.0,0.0,0,No,	%PDF-1.4,9,9,2.0,2,0,1.0,1,0,0.0,0.0,1,2,0,0,0,0,0,0,0,0,0.0,Malicious
89434f4557400bcd6d6583cdfa1b5a4ebbb996904a5721036db7f7402fb7544e,9.0,180.0,1.0,9.0,0.0,0.0,0.0,0,No,	%PDF-1.5,25,25,6.0,6,1,1.0,1,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,4.0,Malicious
d26cddc039fced3abe3256b5da62ee0922046186c534d9b4ac72cf3fd3d0e36a,38.0,307.0,1.0,48.0,0.0,0.0,0.0,0,Yes,	%PDF-1.4,139,139,21.0,21,1,1.0,1,13,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0.0,Benign
ce79675a71e7e340e66401c79663c116e9678b0564414350e31db868e22db5ea,26.0,25605.0,0.0,4.0,19.0,0.0,0.0,0,No,	%PDF-1.3,9,9,3.0,3,1,1.0,1,1,0.0,0.0,1,1,0,1,0,0,0,0,0,0,0.0,Malicious
7ec163570167c764fd6ed710abc0448ae40b5c685d8a6918fb0ac7b4d99a7e06,71.0,413.0,2.0,245.0,39.0,0.0,0.0,0,Yes,	%PDF-1.7,53,53,47.0,47,0,0.0,3,2,0.0,10.0,0,0,0,0,2,0,0,0,8,0,0.0,Benign
67566531de472d71f4ae9650736b298ebf5fd4d9d5b5a6f8fc472542e3a7dc50,68.0,262.0,1.0,21.0,0.0,0.0,0.0,1,No,	%PDF-1.2,6,6,2.0,2,1,1.0,1,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,Benign
d6b986f22385b069450d963d2979b7a7117d9d11bcf55ec0ab8d7efa07118ce6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,	%PDF-1.5,6,6,2.0,2,1,1.0,1,1,0.0,0.0,0,0,0,0,1,0,0,0,0,1,0.0,Malicious
554be6c62a78f12bdf96cfcfc875b7b59e9c5015eb89282afad82db7e7b06121,78.0,347.0,1.0,16.0,0.0,0.0,0.0,-1,unclear,	%PDF-11113,9,9,1.0,1,1,1.0,1,1,0.0,0.0,1,2,0,1,0,0,0,0,0,0,0.0,Malicious
fba7abefc20ffdf92030ba4ccb59e1643e92b5abb8b27d72c18364f6a46b9957,400.0,393.0,2.0,776.0,23.0,0.0,0.0,0,Yes,	%PDF-1.7,93,93,87.0,87,0,0.0,3,2,0.0,11.0,0,0,0,0,2,0,0,0,8,0,0.0,Benign
5cebdc03aa9e64aa0ffd9d272374f16f384a39c9d3b2a43dc98c661e98033f33,7.0,201.0,1.0,996.0,0.0,0.0,0.0,0,No,	%PDF-1.3,28,28,10.0,10,1,1.0,1,9,0.0,0.0,1,2,0,1,0,0,0,0,0,0,0.0,Malicious
27b6e0e40cc4f6eef519240e32e93f4706639d30f643e2b8951e2ec9c6353d44,78.0,279.0,1.0,46.0,0.0,0.0,0.0,0,Yes,	%PDF-1.3,11,11,3.0,3,2,2.0,2,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,Benign
48d9922ccd29d84567297a9b35f6d964d4fb8c8d5c108cd1250464631995803f,3.0,180.0,1.0,111612.0,0.0,0.0,0.0,0,No,	%PDF-1.3,9,9,3.0,3,1,1.0,1,1,0.0,0.0,1,1,0,1,0,0,0,0,0,0,0.0,Malicious
be783ae9cc44e943da62e24535f57f48ebd027a7e876de8956236b8ce0e05a36,52.0,229.0,1.0,33.0,0.0,0.0,0.0,2,Yes,	a,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,Malicious
46345dcecbb9c5bab14fe936fedf89ea130ed26d4437a6ead70d58a50c4f3e07,12.0,373.0,6.0,23.0,9.0,0.0,0.0,0,Yes,	%PDF-1.6,19,19,9.0,9,1,1.0,1,1,0.0,0.0,0,0,0,0,1,0,0,0,8,1,0.0,Malicious
39a7566841e055f602cb82bee6436b636b95f21c5190f666ea52a7926ed1e97c,15.0,371.0,1.0,16.0,16.0,0.0,0.0,-1,unclear,	%PDF-1.5,39,39,24.0,24,0,0.0,1,0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0.0,Malicious
aaa8dde681e0b743575f5989a63d1e83be1e0dc22b22b411ff09dad8f2aca091,164.0,370.0,3.0,28.0,48.0,0.0,0.0,3,Yes,	%PDF-1.6,27,27,10.0,10,2,2.0,2,3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,Benign
aecc442e54a25982e82ab4a7ac220895e79f761730249388d67c6f27bb162e4a,8.0,180.0,1.0,10.0,0.0,0.0,0.0,0,No,	%PDF-1.3,24,24,8.0,8,1,1.0,1,7,0.0,0.0,1,2,0,1,0,0,0,0,0,0,0.0,Malicious
609ab0dfa3575363a89babca089145f0f678b799457ee4ff14033fe18f400e71,17.0,180.0,1.0,10.0,0.0,0.0,0.0,0,No,	%PDF-1.3,54,54,12.0,12,4,4.0,4,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,8.0,Malicious
81a50d38aaa86f7a93e8b4bfc63685c138991975fe604b50305ea4ab45b6b400,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,	%PDF-2.4,5,6,0.0,0,1,1.0,1,1(1),0.0,0.0,0,0,0,1(1),0,0,0,1,0,0,0.0,Malicious
6e0b5464cd82341023fb136bec92b2771acdd63d63974965877ad5eac4eca73b,8.0,180.0,1.0,11.0,0.0,0.0,0.0,0,No,	%PDF-1.3,14,14,2.0,2,1,1.0,1,1,0.0,0.0,2,3,0,1,1,0,0,0,0,0,0.0,Malicious
4389ebcf9f7e1470962b46470c86d9dd8ce17f4433df2f9672161558008f00da,369.0,400.0,2.0,658.0,27.0,0.0,0.0,0,Yes,	%PDF-1.7,57,57,51.0,51,0,0.0,3,2,0.0,12.0,0,0,0,0,2,0,0,0,8,0,0.0,Benign
